Name,Exc %,Exc,Exc Ct
Type System.String,50.6,1465386000,13828
Type System.Char[],47.0,1359475000,13193
Type System.Text.StringBuilder,2.1,60196260,572
Type System.Collections.Generic.List`1[Microsoft.Kiota.Abstractions.Serialization.IParsable],0.1,3304600,31
Type Aveva.Platform.EntityMgmt.Client.Api.Models.RelationshipType,0.1,2771808,26
Type System.GCMemoryInfoData,0.0,639048,6
LargeObject,0.0,131096,1
Type System.Runtime.Serialization.EnumMemberAttribute[],0.0,110168,1
Type BenchmarkDotNet.Characteristics.Characteristic[],0.0,107056,1
Type Enumerator[Aveva.Platform.EntityMgmt.Client.Api.Models.Target],0.0,106608,1
Type System.Int32[],0.0,106600,1
Type Enumerator[Aveva.Platform.EntityMgmt.Client.Api.Models.RelationshipPayload],0.0,106280,1
Type DestroyScout,0.0,105592,1
"Type System.Func`2[System.String,Aveva.Platform.EntityMgmt.Client.Api.Models.Target]",0.0,104680,1
Type System.Reflection.CustomAttributeRecord[],0.0,104168,1
Type Aveva.Platform.EntityMgmt.Client.Api.Models.Target[],0.0,103072,1
Type System.Byte[],0.0,0,0
"module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.GC.AllocateUninitializedArray(int32,bool)>>",0.0,0,0
module Microsoft.IO.RecyclableMemoryStream <<Microsoft.IO.RecyclableMemoryStream!Microsoft.IO.RecyclableMemoryStreamManager.GetStream()>>,0.0,0,0
module Microsoft.Kiota.Serialization.Json <<Microsoft.Kiota.Serialization.Json!Microsoft.Kiota.Serialization.Json.JsonSerializationWriterFactory.GetSerializationWriter(class System.String)>>,0.0,0,0
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Tests.Benchmarks.Serialization.EntitySerializationBenchmarks.Setup()>>,0.0,0,0
module System.Linq.il <<System.Linq.il!System.Linq.Enumerable+SelectRangeIterator`1[System.__Canon].ToList()>>,0.0,0,0
"module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Reflection.TypeNameParser.GetTypeHelper(wchar*,class System.Reflection.RuntimeAssembly,bool,bool)>>",0.0,0,0
module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Collections.Generic.List`1[System.__Canon]..ctor(int32)>>,0.0,0,0
